"time","voltageSensor.v"
0,0
0.02,0.00498510255990993
0.04,0.009935257999896563
0.06,0.01484760858175991
0.08,0.019721700116968617
0.1,0.02455762346278669
0.12,0.029355667653937514
0.14,0.03411609342162221
0.16,0.038839361978456236
0.18,0.043525600710431475
0.2,0.0481751297058185
0.22,0.05278818018380085
0.24,0.057365028058907676
0.26,0.06190609350177025
0.28,0.06641147538888678
0.3,0.07088150331930111
0.32,0.07531644672577692
0.34,0.07971654620661427
0.36,0.08408203424439317
0.38,0.08841324470689062
0.4,0.0927104542928109
0.42,0.09697392563190714
0.44,0.10120394552654696
0.46,0.10540079714922732
0.48,0.10956475730185265
0.5,0.11369606549305376
0.52,0.11779495071443281
0.54,0.12186169736596028
0.56,0.1258965667991882
0.58,0.12989980313817115
0.6,0.13387160748603041
0.62,0.13781226170052252
0.64,0.14172201607094678
0.66,0.1456011202947346
0.68,0.1494497791241714
0.7,0.15326825967943
0.72,0.1570568066902318
0.74,0.16081566488629814
0.76,0.16454502175667882
0.78,0.16824511831792008
0.8,0.17191620219175613
0.82,0.1755585084591651
0.84,0.17917224770912815
0.86,0.18275763141522802
0.88,0.18631490432586892
0.9,0.18984429485592577
0.92,0.19334602322840522
0.94,0.1968202843857879
0.96,0.20026731107572182
0.98,0.20368731979499485
1,0.20708052544640015
1.02,0.210447119001337
1.04,0.21378731655064406
1.06,0.21710132247116792
1.08,0.22038933888138754
1.1,0.22365156564141458
1.12,0.226888200352993
1.14,0.2300994383594994
1.16,0.23328547274594294
1.18,0.2364465299165072
1.2,0.23958282581178736
1.22,0.24269452815978998
1.24,0.24578183038411097
1.26,0.2488449244599023
1.28,0.25188400091387186
1.3,0.2548992488242833
1.32,0.2578908558209565
1.34,0.26085899640421545
1.36,0.2638038588482133
1.38,0.2667256267402436
1.4,0.2696244804782554
1.42,0.27250059890447875
1.44,0.2753541593054252
1.46,0.27818533741188783
1.48,0.2809943103379769
1.5,0.28378126432982365
1.52,0.28654636253194465
1.54,0.2892897761035584
1.56,0.29201167477149215
1.58,0.2947122268301831
1.6,0.2973915991416777
1.62,0.3000499571356317
1.64,0.3026874691169767
1.66,0.30530429997413566
1.68,0.30790060875156305
1.7,0.3104765559947168
