"time","funciontransferencia.y"
0,0
0.02,0.0049850976247046005
0.04,0.00993524992686249
0.06,0.014847607497185196
0.08,0.019721694187709846
0.1,0.024557619199755177
0.12,0.02935563455736515
0.14,0.034116025827451595
0.16,0.03883908520246199
0.18,0.04352510474638051
0.2,0.04817437478587269
0.22,0.052787225141088696
0.24,0.057363939872689305
0.26,0.06190491096904096
0.28,0.06641026810372765
0.3,0.0708802559930544
0.32,0.0753152793530102
0.34,0.07971546958656929
0.36,0.08408118354919476
0.38,0.08841268343833536
0.4,0.09271011942919037
0.42,0.09697385442653257
0.44,0.10120407000469975
0.46,0.10540101351774891
0.48,0.10956502847603612
0.5,0.11369634526455967
0.52,0.11779523093232717
0.54,0.1218619687698577
0.56,0.12589682264104385
0.58,0.12990006263209086
0.6,0.13387188321559848
0.62,0.13781255930840405
0.64,0.14172234738253608
0.66,0.14560149538237555
0.68,0.14945018001669783
0.7,0.1532686763479839
0.72,0.15705722485519732
0.74,0.16081606318514666
0.76,0.16454541992775626
0.78,0.1682455392646645
0.8,0.17191665951040666
0.82,0.17555899643390796
0.84,0.17917274496984356
0.86,0.18275815674704116
0.88,0.1863154600430354
0.9,0.18984488313536094
0.92,0.19334660386215566
0.94,0.19682084492375065
0.96,0.20026783976775775
0.98,0.2036878083659662
1,0.20708096764961084
1.02,0.21044748399914817
1.04,0.21378760016514323
1.06,0.21710153021248085
1.08,0.22038948820604584
1.1,0.22365166073379186
1.12,0.2268882190748485
1.14,0.23009939782904257
1.16,0.23328540286820587
1.18,0.2364464400641695
1.2,0.239582667070977
1.22,0.24269428744509272
1.24,0.2457815119738404
1.26,0.24884453941007142
1.28,0.2518835657299015
1.3,0.25489874699022874
1.32,0.2578902921201274
1.34,0.2608583891277384
1.36,0.2638032247684802
1.38,0.266724975254153
1.4,0.269623808610486
1.42,0.27249991049158856
1.44,0.27535345606087863
1.46,0.27818461849088516
1.48,0.28099358833335175
1.5,0.2837805389576951
1.52,0.2865456396561352
1.54,0.28928906264298343
1.56,0.2920109776842382
1.58,0.29471153899489627
1.6,0.29739091876267043
1.62,0.3000492802976425
1.64,0.3026867852141254
1.66,0.30530360340390816
1.68,0.3078999093212604
1.7,0.3104758569410158
1.72,0.3130316078877533
1.74,0.3155673228509585
1.76,0.31808314532057513
1.78,0.32057923122028886
1.8,0.3230557365147883
1.82,0.3255128124072085
1.84,0.3279506106650835
1.86,0.3303693024497151
1.88,0.33276902888281695
1.9,0.3351499409352167
1.92,0.3375121887183813
