"time","fdt.y"
0,0
0.0625,0
0.125,0
0.1875,0
0.25,0
0.3125,0
0.375,0
0.4375,0
0.5,0
0.5625,0
0.625,0
0.6875,0
0.75,0
0.8125,0
0.875,0
0.9375,0
1,0
1.0625,0
1.125,0
1.1875,0
1.25,0
1.3125,0
1.375,0
1.4375,0
1.5,0
1.5625,0
1.625,0
1.6875,0
1.75,0
1.8125,0
1.875,0
1.9375,0
2,0
2.0625,0
2.125,0
2.1875,0
2.25,0
2.3125,0
2.375,0
2.4375,0
2.5,0
2.5625,0
2.625,0
2.6875,0
2.75,0
2.8125,0
2.875,0
2.9375,0
3,0
3.0625,0
3.125,0
3.1875,0
3.25,0
3.3125,0
3.375,0
3.4375,0
3.5,0
3.5625,0
3.625,0
3.6875,0
3.75,0
3.8125,0
3.875,0
3.9375,0
4,0
4.0625,0
4.125,0
4.1875,0
4.25,0
4.3125,0
4.375,0
4.4375,0
4.5,0
4.5625,0
4.625,0
4.6875,0
4.75,0
4.8125,0
4.875,0
4.9375,0
5,0
5.0625,0
5.125,0
5.1875,0
5.25,0
5.3125,0
5.375,0
5.4375,0
5.5,0
5.5625,0
5.625,0
5.6875,0
5.75,0
5.8125,0
5.875,0
5.9375,0
6,0
6.0625,0
6.125,0
6.1875,0
6.25,0
6.3125,0
6.375,0
6.4375,0
6.5,0
6.5625,0
6.625,0
6.6875,0
6.75,0
6.8125,0
6.875,0
6.9375,0
7,0
7.0625,0
7.125,0
7.1875,0
7.25,0
7.3125,0
7.375,0
7.4375,0
7.5,0
7.5625,0
7.625,0
7.6875,0
7.75,0
7.8125,0
7.875,0
7.9375,0
8,0
8.0625,0
8.125,0
8.1875,0
8.25,0
8.3125,0
8.375,0
8.4375,0
8.5,0
8.5625,0
8.625,0
8.6875,0
8.75,0
8.8125,0
8.875,0
8.9375,0
9,0
9.0625,0
9.125,0
9.1875,0
9.25,0
9.3125,0
9.375,0
9.4375,0
9.5,0
9.5625,0
9.625,0
9.6875,0
9.75,0
9.8125,0
9.875,0
9.9375,0
10,0
10.0000000020001,0
10.0000000020001,0
10.0625,0.10821272809753434
10.125,0.21384473433293893
10.1875,0.3169101011541878
10.25,0.4174705855883817
10.3125,0.5155870520568079
10.375,0.6113188010580354
10.4375,0.7047238119477653
10.5,0.7958587062132295
10.5625,0.8847786821787241
10.625,0.9715376302187891
10.6875,1.0561881233095904
10.75,1.1387813613947753
10.8125,1.2193672436837582
10.875,1.29799462780342
10.9375,1.3747110479243423
11,1.449562952940219
11.0625,1.5225956644591647
11.125,1.5938533812584739
11.1875,1.6633792749523553
11.25,1.7312154023558344
11.3125,1.7974028581527906
11.375,1.8619816942578509
11.4375,1.9249909940056495
11.5,1.9864689213233349
11.5625,2.046452691706904
11.625,2.1049786329241003
11.6875,2.162082160960963
11.75,2.217797828722454
11.8125,2.2721593849526722
11.875,2.3251997461121814
11.9375,2.3769509994355755
12,2.4274444982781747
12.0625,2.476710831054109
12.125,2.5247797895347666
12.1875,2.5716804794216763
12.25,2.6174413158615706
12.3125,2.6620900020304927
12.375,2.7056535356480773
12.4375,2.748158314163981
12.5,2.7896300822613145
12.5625,2.8300939085078487
12.625,2.8695743080357308
12.6875,2.908095192090963
12.75,2.9456798715293036
12.8125,2.982351084855945
12.875,3.01813105153856
12.9375,3.0530414416792624
13,3.087103354893158
13.0625,3.1203374343719683
13.125,3.15276381085189
13.1875,3.18440209697187
13.25,3.215271443741529
13.3125,3.245390553820114
13.375,3.2747776630820624
13.4375,3.303450539100947
13.5,3.331426557012445
13.5625,3.3587226622835997
13.625,3.3853553566430863
13.6875,3.4113407722413935
13.75,3.4366946490536803
13.8125,3.4614323322032217
13.875,3.485568784668216
13.9375,3.5091186317288003
14,3.532096137414165
14.0625,3.5545151884660244
14.125,3.576389371328818
14.1875,3.5977319349732806
14.25,3.6185557909667496
14.3125,3.638873541303022
14.375,3.6586974961679264
14.4375,3.6780396595175473
14.5,3.696911724354672
14.5625,3.7153251270285073
14.625,3.733291020767553
14.6875,3.750820268829285
14.75,3.7679234863881303
14.8125,3.784611034176722
14.875,3.800893013582549
14.9375,3.816779271277831
15,3.8322794337455353
15.0625,3.847402890091887
15.125,3.862158779778329
15.1875,3.8765560450754233
15.25,3.8906034059851535
15.3125,3.9043093622430405
15.375,3.9176822065632093
15.4375,3.930730041655028
15.5,3.9434607691906693
15.5625,3.955882084488755
15.625,3.968001514900794
15.6875,3.9798264011945856
15.75,3.991363894836208
15.8125,4.002620980771926
15.875,4.013604478763912
15.9375,4.024321038287294
16,4.034777139285319
16.0625,4.044979117931993
16.125,4.054933153999079
16.1875,4.064645263948425
16.25,4.074121332036321
16.3125,4.083367097958787
16.375,4.092388157031628
16.4375,4.101189966348992
16.5,4.109777859200957
16.5625,4.118157036863419
16.625,4.126332563788322
16.6875,4.134309394409144
16.75,4.1420923602116435
16.8125,4.149686169094
16.875,4.157095417331447
16.9375,4.164324593860067
17,4.171378075807339
17.0625,4.178260127599253
17.125,4.184974919695178
17.1875,4.191526519429549
17.25,4.197918887667829
17.3125,4.20415589618158
17.375,4.210241323049349
17.4375,4.216178849575257
17.5,4.221972062475463
17.5625,4.227624470093212
17.625,4.23313949222151
17.6875,4.238520465860272
17.75,4.243770647567686
17.8125,4.248893215811599
17.875,4.2538912721791675
17.9375,4.258767845372297
18,4.263525893579744
18.0625,4.268168305761539
18.125,4.2726979044189495
18.1875,4.277117447935589
18.25,4.281429572227089
18.3125,4.285636847842862
18.375,4.289741865559657
18.4375,4.293747113501083
18.5,4.297655020997728
18.5625,4.301467960457784
18.625,4.305188232024982
18.6875,4.308818062813504
18.75,4.3123596756183185
18.8125,4.315815220138958
18.875,4.319186796260679
18.9375,4.322476455768911
19,4.325686185742206
19.0625,4.328817861413126
19.125,4.331873426568116
19.1875,4.334854733570174
19.25,4.337763591333718
19.3125,4.340601766771227
19.375,4.343370982546322
19.4375,4.346072863070533
19.5,4.348709077788878
19.5625,4.3512812252172886
19.625,4.353790866643753
19.6875,4.356239527403717
19.75,4.358628698155463
19.8125,4.360959771657821
19.875,4.363234186980215
19.9375,4.365453326616014
20,4.367618537432304
20.00000000400002,4.36761853756918
20.00000000400002,4.36761853756918
20.0625,4.4779439213669585
20.125,4.585637241085414
20.1875,4.690713823601572
20.25,4.793236644114288
20.3125,4.893267719236238
20.375,4.990867521617582
20.4375,5.0860950166926004
20.5,5.179008123977824
20.5625,5.269663014021408
20.625,5.358114633070087
20.6875,5.444416546233419
20.75,5.52862104741733
20.8125,5.610779177733743
20.875,5.69094085101682
20.9375,5.769154478991279
21,5.8454673198799725
21.0625,5.919925494600663
21.125,5.992573780696699
21.1875,6.063456329837598
21.25,6.1326158110212985
21.3125,6.200094375763526
21.375,6.265932877261136
21.4375,6.330171329818294
21.5,6.392848723763768
21.5625,6.454003008884215
21.625,6.513671156021297
21.6875,6.571889234409158
21.75,6.6286923317053015
21.8125,6.684114788114857
21.875,6.738190113848941
21.9375,6.79095103031781
22,6.842429604736868
22.0625,6.8926570411608905
22.125,6.941663905430536
22.1875,6.989479891896564
22.25,7.036133896002895
22.3125,7.081654118899589
22.375,7.126068030424832
22.4375,7.169402383609863
22.5,7.211683464673363
22.5625,7.252936747799496
22.625,7.293187378400182
22.6875,7.332459706169252
