"time","voltageSensor.v"
0,0
0.0625,0
0.125,0
0.1875,0
0.25,0
0.3125,0
0.375,0
0.4375,0
0.5,0
0.5625,0
0.625,0
0.6875,0
0.75,0
0.8125,0
0.875,0
0.9375,0
1,0
1.0625,0
1.125,0
1.1875,0
1.25,0
1.3125,0
1.375,0
1.4375,0
1.5,0
1.5625,0
1.625,0
1.6875,0
1.75,0
1.8125,0
1.875,0
1.9375,0
2,0
2.0625,0
2.125,0
2.1875,0
2.25,0
2.3125,0
2.375,0
2.4375,0
2.5,0
2.5625,0
2.625,0
2.6875,0
2.75,0
2.8125,0
2.875,0
2.9375,0
3,0
3.0625,0
3.125,0
3.1875,0
3.25,0
3.3125,0
3.375,0
3.4375,0
3.5,0
3.5625,0
3.625,0
3.6875,0
3.75,0
3.8125,0
3.875,0
3.9375,0
4,0
4.0625,0
4.125,0
4.1875,0
4.25,0
4.3125,0
4.375,0
4.4375,0
4.5,0
4.5625,0
4.625,0
4.6875,0
4.75,0
4.8125,0
4.875,0
4.9375,0
5,0
5.0625,0
5.125,0
5.1875,0
5.25,0
5.3125,0
5.375,0
5.4375,0
5.5,0
5.5625,0
5.625,0
5.6875,0
5.75,0
5.8125,0
5.875,0
5.9375,0
6,0
6.0625,0
6.125,0
6.1875,0
6.25,0
6.3125,0
6.375,0
6.4375,0
6.5,0
6.5625,0
6.625,0
6.6875,0
6.75,0
6.8125,0
6.875,0
6.9375,0
7,0
7.0625,0
7.125,0
7.1875,0
7.25,0
7.3125,0
7.375,0
7.4375,0
7.5,0
7.5625,0
7.625,0
7.6875,0
7.75,0
7.8125,0
7.875,0
7.9375,0
8,0
8.0625,0
8.125,0
8.1875,0
8.25,0
8.3125,0
8.375,0
8.4375,0
8.5,0
8.5625,0
8.625,0
8.6875,0
8.75,0
8.8125,0
8.875,0
8.9375,0
9,0
9.0625,0
9.125,0
9.1875,0
9.25,0
9.3125,0
9.375,0
9.4375,0
9.5,0
9.5625,0
9.625,0
9.6875,0
9.75,0
9.8125,0
9.875,0
9.9375,0
10,0
10.0000000020001,0
10.0000000020001,0
10.0625,0.10821271718455165
10.125,0.21384473614092323
10.1875,0.3169100967282739
10.25,0.4174705240499712
10.3125,0.5155868610375867
10.375,0.6113185524689018
10.4375,0.7047236035041041
10.5,0.7958586124406858
10.5625,0.8847787961659627
10.625,0.971537927251634
10.6875,1.0561884705275426
10.75,1.1387816948847462
10.8125,1.219367594099468
10.875,1.2979949214813287
10.9375,1.3747112992437367
11,1.4495631752322515
11.0625,1.5225958512716946
11.125,1.5938535574787587
11.1875,1.6633794199555259
11.25,1.7312155207974176
11.3125,1.7974029404365435
11.375,1.8619817481321745
11.4375,1.9249910504802574
11.5,1.98646896104327
11.5625,2.046452713775181
11.625,2.1049786304287026
11.6875,2.162082124820975
11.75,2.217797782048081
11.8125,2.2721593487030165
11.875,2.3251997088017875
11.9375,2.3769509810204634
12,2.42744451213424
12.0625,2.476710854771481
12.125,2.5247798306865015
12.1875,2.571680554806187
12.25,2.617441412374754
12.3125,2.6620900974157875
12.375,2.705653653455757
12.4375,2.7481584503265353
12.5,2.7896302066156475
12.5625,2.8300940440847726
12.625,2.8695744605964353
12.6875,2.908095339161468
12.75,2.9456800160589505
12.8125,2.982351249565109
12.875,3.0181312194935828
12.9375,3.05304160167457
13,3.0871035370222257
13.0625,3.1203376257374966
13.125,3.1527640003349493
13.1875,3.1844022987940033
13.25,3.2152716547291704
13.3125,3.245390767590029
13.375,3.274777877996012
13.4375,3.3034507615545214
13.5,3.331426782571481
13.5625,3.3587228850995365
13.625,3.385355583830926
13.6875,3.4113410025311697
13.75,3.4366948808539477
13.8125,3.4614325531456687
13.875,3.485568980605649
13.9375,3.5091187744966397
14,3.532096185173356
14.0625,3.554515118228318
14.125,3.576389144257217
14.1875,3.597731507240012
14.25,3.618555134576578
14.3125,3.638872650433565
14.375,3.658696381554519
14.4375,3.678038368195458
14.5,3.6969103738617926
14.5625,3.715323619685529
14.625,3.7332893175693247
14.6875,3.750818401528358
14.75,3.767921506115806
14.8125,3.7846090163950317
14.875,3.800890959366706
14.9375,3.816777139994318
15,3.8322772409358166
15.0625,3.847400654654773
15.125,3.862156551113292
15.1875,3.876553847675249
15.25,3.8906011796115054
15.3125,3.904307107927118
15.375,3.917679937229831
15.4375,3.9307277766134447
15.5,3.943458539703897
15.5625,3.955879820311361
15.625,3.967999208182682
15.6875,3.9798240500982667
15.75,3.9913615210419917
15.8125,4.002618629965861
15.875,4.01360209709375
15.9375,4.024318597574666
16,4.034774649243183
16.0625,4.044976596531799
16.125,4.05493063640526
16.1875,4.064642750048137
16.25,4.074118782567342
16.3125,4.083364516059746
16.375,4.092385556905442
16.4375,4.101187379812312
16.5,4.109775305011487
16.5625,4.118154470161286
16.625,4.126329992487764
16.6875,4.134306826683095
16.75,4.1420898104941255
16.8125,4.149683665445211
16.875,4.15709291966958
16.9375,4.164322100008997
17,4.17137558722215
17.0625,4.178257658832478
17.125,4.184972492486333
17.1875,4.191524106479555
17.25,4.1979164777077544
17.3125,4.204153491223302
17.375,4.210238929857913
17.4375,4.216176488244803
17.5,4.221969737526593
17.5625,4.227622165055313
17.625,4.233137217931664
17.6875,4.23851824063374
17.75,4.243768499396043
17.8125,4.248891168388498
17.875,4.253889309346455
17.9375,4.258765977197353
18,4.263524128232168
18.0625,4.26816664921847
18.125,4.272696358145744
18.1875,4.277115950569777
18.25,4.281428130132312
18.3125,4.285635510153584
18.375,4.289740642316484
18.4375,4.293746018656643
18.5,4.2976540364750635
18.5625,4.30146706687858
18.625,4.305187427402393
18.6875,4.308817374042036
18.75,4.312359110021906
18.8125,4.31581476683485
18.875,4.3191864246004394
18.9375,4.3224761386356265
19,4.325685903621968
19.0625,4.328817667531955
19.125,4.331873324187027
19.1875,4.334854700238114
19.25,4.337763617535616
19.3125,4.3406018395597785
19.375,4.34337108837995
19.4375,4.3460730453987235
19.5,4.348709317409468
19.5625,4.351281517814422
19.625,4.353791205595924
19.6875,4.356239903008502
19.75,4.358629096768552
19.8125,4.3609602166647825
19.875,4.363234676602636
19.9375,4.365453859404589
20,4.367619110772705
20.00000000400002,4.367619110909585
20.00000000400002,4.367619110909585
20.0625,4.4779444755766695
20.125,4.585637787072135
20.1875,4.690714350352631
20.25,4.793237099119794
20.3125,4.893267924144887
20.375,4.990867518262121
20.4375,5.086094931544005
20.5,5.179007907448907
20.5625,5.2696627410061385
20.625,5.358114329449813
20.6875,5.444416354768013
20.75,5.528621128500792
20.8125,5.610779691123167
20.875,5.6909416424909445
20.9375,5.769155417560208
21,5.8454681863571745
21.0625,5.919925994464784
21.125,5.992574000719611
21.1875,6.063456069548497
21.25,6.1326153943282184
21.3125,6.200093856879535
21.375,6.26593248474106
21.4375,6.330171200857257
21.5,6.392848857151408
21.5625,6.454003331984033
21.625,6.513671594461721
21.6875,6.5718895306790985
21.75,6.628692502133157
21.8125,6.684114673043748
21.875,6.738189808050294
21.9375,6.790950619590065
22,6.8424291732337865
22.0625,6.892656717777799
22.125,6.941663686152747
22.1875,6.989479732417604
22.25,7.036133765386143
22.3125,7.081653925315895
22.375,7.126067697808301
22.4375,7.169401965301843
22.5,7.211682883917422
22.5625,7.252936163872994
22.625,7.293186766522192
22.6875,7.3324592331704155
